RecNum	DateTime	KAUST_LT_Tank1-S33.5A
528	07/28/19 01:55:00 PM	33.848
529	07/28/19 02:00:00 PM	32.911
530	07/28/19 02:05:00 PM	32.188
531	07/28/19 02:10:00 PM	31.574
532	07/28/19 02:15:00 PM	31.064
533	07/28/19 02:20:00 PM	30.862
534	07/28/19 02:25:00 PM	30.659
535	07/28/19 02:30:00 PM	30.457
536	07/28/19 02:35:00 PM	30.255
537	07/28/19 02:40:00 PM	30.054
538	07/28/19 02:45:00 PM	29.953
539	07/28/19 02:50:00 PM	29.953
540	07/28/19 02:55:00 PM	29.853
541	07/28/19 03:00:00 PM	29.552
542	07/28/19 03:05:00 PM	29.252
543	07/28/19 03:10:00 PM	29.152
544	07/28/19 03:15:00 PM	29.053
545	07/28/19 03:20:00 PM	28.953
546	07/28/19 03:25:00 PM	28.853
547	07/28/19 03:30:00 PM	28.853
548	07/28/19 03:35:00 PM	28.754
549	07/28/19 03:40:00 PM	28.555
550	07/28/19 03:45:00 PM	28.456
551	07/28/19 03:50:00 PM	28.456
552	07/28/19 03:55:00 PM	28.456
553	07/28/19 04:00:00 PM	28.456
554	07/28/19 04:05:00 PM	28.456
555	07/28/19 04:10:00 PM	28.456
556	07/28/19 04:15:00 PM	28.357
557	07/28/19 04:20:00 PM	28.357
558	07/28/19 04:25:00 PM	28.258
559	07/28/19 04:30:00 PM	28.258
560	07/28/19 04:35:00 PM	28.357
561	07/28/19 04:40:00 PM	28.456
562	07/28/19 04:45:00 PM	28.456
563	07/28/19 04:50:00 PM	28.357
564	07/28/19 04:55:00 PM	28.357
565	07/28/19 05:00:00 PM	28.258
566	07/28/19 05:05:00 PM	28.258
567	07/28/19 05:10:00 PM	28.258
568	07/28/19 05:15:00 PM	28.357
569	07/28/19 05:20:00 PM	28.357
570	07/28/19 05:25:00 PM	28.357
571	07/28/19 05:30:00 PM	28.357
572	07/28/19 05:35:00 PM	28.357
573	07/28/19 05:40:00 PM	28.357
574	07/28/19 05:45:00 PM	28.357
575	07/28/19 05:50:00 PM	28.357
576	07/28/19 05:55:00 PM	28.357
577	07/28/19 06:00:00 PM	28.258
578	07/28/19 06:05:00 PM	28.258
579	07/28/19 06:10:00 PM	28.258
580	07/28/19 06:15:00 PM	28.258
581	07/28/19 06:20:00 PM	28.258
582	07/28/19 06:25:00 PM	28.357
583	07/28/19 06:30:00 PM	28.456
584	07/28/19 06:35:00 PM	28.357
585	07/28/19 06:40:00 PM	28.357
